fitness_1,103769.813228
fitness_2,227.818727
fitness_3,130225.674955
fitness_4,128973.679378
fitness_5,26.737413
fitness_6,22.978779
fitness_7,26.737413
fitness_8,22.972196
fitness_9,155783.785472
P1,P2,nbprogeny
p9_k293_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,5
p8_k44_c3_XXX000000000000000,p9_k293_c3_XXX00000000000000,5
p1_k250_c3_XXX00000000000000,p8_k44_c3_XXX000000000000000,5
p11_k255_c3_XXX0000000000000,p9_k293_c3_XXX00000000000000,5
p1_k250_c3_XXX00000000000000,p9_k170_c3_XXX00000000000000,5
p7_k228_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,5
p9_k170_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,59
p1_k225_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,5
p1_k250_c3_XXX00000000000000,p11_k255_c3_XXX0000000000000,25
p11_k255_c3_XXX0000000000000,p9_k44_c3_XXX000000000000000,5
p2_k47_c3_XXX000000000000000,p4_k225_c3_XXX00000000000000,59
p1_k250_c3_XXX00000000000000,p7_k228_c3_XXX00000000000000,60
p7_k228_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,9
p1_k250_c3_XXX00000000000000,p11_k103_c3_XXX0000000000000,5
p11_k103_c3_XXX0000000000000,p9_k44_c3_XXX000000000000000,5
p2_k223_c3_XXX00000000000000,p4_k225_c3_XXX00000000000000,55
p11_k255_c3_XXX0000000000000,p8_k44_c3_XXX000000000000000,58
p5_k250_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,5
p5_k224_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,60
p8_k104_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,5
p1_k250_c3_XXX00000000000000,p7_k34_c3_XXX000000000000000,60
p7_k34_c3_XXX000000000000000,p9_k44_c3_XXX000000000000000,7
p5_k149_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,45
p4_k225_c3_XXX00000000000000,p8_k246_c3_XXX00000000000000,55
p1_k17_c3_XXX000000000000000,p9_k293_c3_XXX00000000000000,5
p2_k62_c3_XXX000000000000000,p9_k293_c3_XXX00000000000000,5
p11_k255_c3_XXX0000000000000,p9_k170_c3_XXX00000000000000,60
